stage,rank,rider,team,time
1,1,J. PHILIPSEN,101,ALPECIN-DECEUNINCK
1,2,B. GIRMAY,41,INTERMARCHÉ - WANTY
1,3,S. WAERENSKJOLD,228,UNO-X MOBILITY
1,4,A. TURGIS,187,TOTALENERGIES
1,5,M. TRENTIN,118,TUDOR PRO CYCLING TEAM
1,6,C. RUSSO,98,GROUPAMA-FDJ
1,7,P. PENHOET,97,GROUPAMA-FDJ
1,8,M. JORGENSON,15,TEAM VISMA | LEASE A BIKE
1,9,M. MAYRHOFER,116,TUDOR PRO CYCLING TEAM
1,10,S. WATSON,68,INEOS GRENADIERS
1,11,M. TEUNISSEN,177,XDS ASTANA TEAM
1,12,I. GARCIA CORTINA,145,MOVISTAR TEAM
1,13,N. MÄRKL,196,TEAM PICNIC POSTNL
1,14,H. SWEENY,36,EF EDUCATION - EASYPOST
1,15,K. NEILANDS,207,ISRAEL - PREMIER TECH
1,16,K. VAUQUELIN,131,ARKEA-B&B HOTELS
1,17,D. TOUZE,168,COFIDIS
1,18,T. POGACAR,1,UAE TEAM EMIRATES XRG
1,19,P. ACKERMANN,202,ISRAEL - PREMIER TECH
1,20,J. VINGEGAARD,11,TEAM VISMA | LEASE A BIKE
1,21,J. STUYVEN,87,LIDL-TREK
1,22,M. HALLER,113,TUDOR PRO CYCLING TEAM
1,23,K. GROVES,103,ALPECIN-DECEUNINCK
1,24,K. ASGREEN,33,EF EDUCATION - EASYPOST
1,25,J. BLACKMORE,203,ISRAEL - PREMIER TECH
1,26,L. MEZGEC,125,TEAM JAYCO ALULA
1,27,T. BENOOT,13,TEAM VISMA | LEASE A BIKE
1,28,M. VAN DER POEL,106,ALPECIN-DECEUNINCK
1,29,S. EDVARDSEN-FREDHEIM,224,UNO-X MOBILITY
1,30,T. JOHANNESSEN,221,UNO-X MOBILITY
1,31,E. MAS,141,MOVISTAR TEAM
1,32,T. WELLENS,7,UAE TEAM EMIRATES XRG
1,33,C. BARTHE,93,GROUPAMA-FDJ
1,34,J. ABRAHAMSEN,222,UNO-X MOBILITY
1,35,J. RICKAERT,105,ALPECIN-DECEUNINCK
1,36,X. MEURISSE,104,ALPECIN-DECEUNINCK
1,37,D. BALLERINI,172,XDS ASTANA TEAM
1,38,E. AFFINI,12,TEAM VISMA | LEASE A BIKE
1,39,J. MILAN,81,LIDL-TREK
1,40,A. DE LIE,211,LOTTO
1,41,B. COQUARD,163,COFIDIS
1,42,J. MEEUS,73,RED BULL - BORA - HANSGROHE
1,43,P. BITTNER,193,TEAM PICNIC POSTNL
1,44,A. DAINESE,112,TUDOR PRO CYCLING TEAM
1,45,R. STANNARD,57,BAHRAIN VICTORIOUS
1,46,P. BAUHAUS,52,BAHRAIN VICTORIOUS
1,47,T. MERLIER,24,SOUDAL QUICK-STEP
1,48,W. VAN AERT,17,TEAM VISMA | LEASE A BIKE
1,49,D. VAN POPPEL,77,RED BULL - BORA - HANSGROHE
1,50,N. POWLESS,35,EF EDUCATION - EASYPOST
1,51,M. HOELGAARD,225,UNO-X MOBILITY
1,52,C. BERTHET,153,DECATHLON AG2R LA MONDIALE TEAM
1,53,T. LUND ANDRESEN,195,TEAM PICNIC POSTNL
1,54,M. SKJELMOSE,85,LIDL-TREK
1,55,J. DE BUYST,213,LOTTO
1,56,E. BUCHMANN,161,COFIDIS
1,57,G. BOIVIN,204,ISRAEL - PREMIER TECH
1,58,J. ALMEIDA,2,UAE TEAM EMIRATES XRG
1,59,A. CAPIOT,132,ARKEA-B&B HOTELS
1,60,D. GROENEWEGEN,124,TEAM JAYCO ALULA
1,61,M. CORT NIELSEN,223,UNO-X MOBILITY
1,62,A. DEMARE,134,ARKEA-B&B HOTELS
1,63,A. RENARD,165,COFIDIS
1,64,B. HEALY,31,EF EDUCATION - EASYPOST
1,65,M. LOUVEL,205,ISRAEL - PREMIER TECH
1,66,A. PARET PEINTRE,156,DECATHLON AG2R LA MONDIALE TEAM
1,67,R. EVENEPOEL,21,SOUDAL QUICK-STEP
1,68,J. JEGAT,186,TOTALENERGIES
1,69,C. RODRIGUEZ,66,INEOS GRENADIERS
1,70,G. VERMEERSCH,107,ALPECIN-DECEUNINCK
1,71,S. BUITRAGO,51,BAHRAIN VICTORIOUS
1,72,M. VALGREN,37,EF EDUCATION - EASYPOST
1,73,O. NAESEN,155,DECATHLON AG2R LA MONDIALE TEAM
1,74,O. ONLEY,191,TEAM PICNIC POSTNL
1,75,F. GALL,151,DECATHLON AG2R LA MONDIALE TEAM
1,76,I. VAN WILDER,28,SOUDAL QUICK-STEP
1,77,P. EENKHOORN,23,SOUDAL QUICK-STEP
1,78,F. LIPOWITZ,72,RED BULL - BORA - HANSGROHE
1,79,P. ROGLIC,71,RED BULL - BORA - HANSGROHE
1,80,L. VAN EETVELT,217,LOTTO
1,81,V. MADOUAS,95,GROUPAMA-FDJ
1,82,G. MARTIN GUYONNET,91,GROUPAMA-FDJ
1,83,N. OLIVEIRA,144,MOVISTAR TEAM
1,84,F. LIENHARD,115,TUDOR PRO CYCLING TEAM
1,85,S. FLYNN,194,TEAM PICNIC POSTNL
1,86,C. SWIFT,67,INEOS GRENADIERS
1,87,G. THOMAS,61,INEOS GRENADIERS
1,88,T. GACHIGNARD,184,TOTALENERGIES
1,89,J. NARVAEZ,3,UAE TEAM EMIRATES XRG
1,90,H. PAGE,44,INTERMARCHÉ - WANTY
1,91,S. CRAS,181,TOTALENERGIES
1,92,B. TRONCHON,158,DECATHLON AG2R LA MONDIALE TEAM
1,93,A. DELETTRE,183,TOTALENERGIES
1,94,J. HAIG,54,BAHRAIN VICTORIOUS
1,95,A. ARANBURU,162,COFIDIS
1,96,M. HIRSCHI,114,TUDOR PRO CYCLING TEAM
1,97,J. BERCKMOES,212,LOTTO
1,98,D. TEUNS,166,COFIDIS
1,99,B. VAN MOER,218,LOTTO
1,100,T. FOSS,63,INEOS GRENADIERS
1,101,F. WRIGHT,58,BAHRAIN VICTORIOUS
1,102,J. DRIZNERS,214,LOTTO
1,103,V. ALBANESE,32,EF EDUCATION - EASYPOST
1,104,E. REINDERS,127,TEAM JAYCO ALULA
1,105,A. VLASOV,78,RED BULL - BORA - HANSGROHE
1,106,C. SCOTSON,157,DECATHLON AG2R LA MONDIALE TEAM
1,107,W. BARGUIL,192,TEAM PICNIC POSTNL
1,108,M. MOHORIC,56,BAHRAIN VICTORIOUS
1,109,A. BAUDIN,34,EF EDUCATION - EASYPOST
1,110,C. VENTURINI,138,ARKEA-B&B HOTELS
1,111,B. VAN LERBERGHE,27,SOUDAL QUICK-STEP
1,112,T. SKUJINS,86,LIDL-TREK
1,113,E. THEUNS,88,LIDL-TREK
1,114,V. BRAET,43,INTERMARCHÉ - WANTY
1,115,L. PITHIE,75,RED BULL - BORA - HANSGROHE
1,116,S. CONSONNI,82,LIDL-TREK
1,117,M. CATTANEO,22,SOUDAL QUICK-STEP
1,118,V. CAMPENAERTS,14,TEAM VISMA | LEASE A BIKE
1,119,S. KUSS,16,TEAM VISMA | LEASE A BIKE
1,120,G. MOSCON,74,RED BULL - BORA - HANSGROHE
1,121,M. VAN DIJKE,76,RED BULL - BORA - HANSGROHE
1,122,I. IZAGIRRE,164,COFIDIS
1,123,M. SOLER,6,UAE TEAM EMIRATES XRG
1,124,K. GRADEK,53,BAHRAIN VICTORIOUS
1,125,N. POLITT,4,UAE TEAM EMIRATES XRG
1,126,A. LEKNESSUND,227,UNO-X MOBILITY
1,127,A. JOHANNESSEN,226,UNO-X MOBILITY
1,128,Q. PACHER,96,GROUPAMA-FDJ
1,129,H. TEJADA,171,XDS ASTANA TEAM
1,130,B. ARMIRAIL,152,DECATHLON AG2R LA MONDIALE TEAM
1,131,S. GRIGNARD,215,LOTTO
1,132,M. LE BERRE,136,ARKEA-B&B HOTELS
1,133,T. ARENSMAN,62,INEOS GRENADIERS
1,134,J. RUTSCH,46,INTERMARCHÉ - WANTY
1,135,E. SEPULVEDA,216,LOTTO
1,136,G. ZIMMERMANN,48,INTERMARCHÉ - WANTY
1,137,G. MÜHLBERGER,146,MOVISTAR TEAM
1,138,B. THOMAS,167,COFIDIS
1,139,E. RUBIO REYES,148,MOVISTAR TEAM
1,140,C. RODRIGUEZ,137,ARKEA-B&B HOTELS
1,141,F. VAN DEN BROEK,198,TEAM PICNIC POSTNL
1,142,Q. SIMMONS,84,LIDL-TREK
1,143,T. NABERMAN,197,TEAM PICNIC POSTNL
1,144,S. HIGUITA,176,XDS ASTANA TEAM
1,145,C. CHAMPOUSSIN,174,XDS ASTANA TEAM
1,146,L. REX,45,INTERMARCHÉ - WANTY
1,147,P. CASTRILLO ZAPATER,143,MOVISTAR TEAM
1,148,R. GARCIA PIERNA,135,ARKEA-B&B HOTELS
1,149,R. GREGOIRE,94,GROUPAMA-FDJ
1,150,E. COSTIOU,133,ARKEA-B&B HOTELS
1,151,V. PARET PEINTRE,25,SOUDAL QUICK-STEP
1,152,E. JEANNIERE,185,TOTALENERGIES
1,153,M. STORER,117,TUDOR PRO CYCLING TEAM
1,154,E. DUNBAR,122,TEAM JAYCO ALULA
1,155,P. SIVAKOV,5,UAE TEAM EMIRATES XRG
1,156,A. YATES,8,UAE TEAM EMIRATES XRG
1,157,E. VERSTRYNGE,108,ALPECIN-DECEUNINCK
1,158,J. STEWART,208,ISRAEL - PREMIER TECH
1,159,A. LUTSENKO,206,ISRAEL - PREMIER TECH
1,160,B. O'CONNOR,121,TEAM JAYCO ALULA
1,161,M. SCHMID,128,TEAM JAYCO ALULA
1,162,M. VAN DEN BERG,38,EF EDUCATION - EASYPOST
1,163,L. DURBRIDGE,123,TEAM JAYCO ALULA
1,164,S. YATES,18,TEAM VISMA | LEASE A BIKE
1,165,A. LAURANCE,65,INEOS GRENADIERS
1,166,S. DILLIER,102,ALPECIN-DECEUNINCK
1,167,M. WOODS,201,ISRAEL - PREMIER TECH
1,168,S. VELASCO,178,XDS ASTANA TEAM
1,169,M. SCHACHMANN,26,SOUDAL QUICK-STEP
1,170,L. PLAPP,126,TEAM JAYCO ALULA
1,171,Y. FEDOROV,175,XDS ASTANA TEAM
1,172,C. BOL,173,XDS ASTANA TEAM
1,173,J. ALAPHILIPPE,111,TUDOR PRO CYCLING TEAM
